q_offset,high_intensity,acs_admit_rate_per_1000,outcome,bh_ed_rate_per_1000,all_cause_mortality_per_100k_35_64,amenable_mortality_per_100k_35_64
-21,0,50.86885179854343,acs_admit_rate_per_1000,,,
-21,1,50.25301686353236,acs_admit_rate_per_1000,,,
-20,0,50.49805426993529,acs_admit_rate_per_1000,,,
-20,1,50.35865982741293,acs_admit_rate_per_1000,,,
-19,0,50.254557347408,acs_admit_rate_per_1000,,,
-19,1,50.14489710015148,acs_admit_rate_per_1000,,,
-18,0,50.9331729955178,acs_admit_rate_per_1000,,,
-18,1,50.51851258664143,acs_admit_rate_per_1000,,,
-17,0,50.54430090832757,acs_admit_rate_per_1000,,,
-17,1,50.5471568430259,acs_admit_rate_per_1000,,,
-16,0,50.45469012119183,acs_admit_rate_per_1000,,,
-16,1,50.293651019429845,acs_admit_rate_per_1000,,,
-15,0,50.79101406064511,acs_admit_rate_per_1000,,,
-15,1,50.403892636561714,acs_admit_rate_per_1000,,,
-14,0,50.58348154391419,acs_admit_rate_per_1000,,,
-14,1,50.32248073792026,acs_admit_rate_per_1000,,,
-13,0,50.487349096709444,acs_admit_rate_per_1000,,,
-13,1,50.25118902136397,acs_admit_rate_per_1000,,,
-12,0,50.85098757863571,acs_admit_rate_per_1000,,,
-12,1,50.33133237812895,acs_admit_rate_per_1000,,,
-11,0,50.61915606203615,acs_admit_rate_per_1000,,,
-11,1,50.14917332643323,acs_admit_rate_per_1000,,,
-10,0,50.80707217898468,acs_admit_rate_per_1000,,,
-10,1,50.466286983380584,acs_admit_rate_per_1000,,,
-9,0,50.688076844817324,acs_admit_rate_per_1000,,,
-9,1,50.487429402367404,acs_admit_rate_per_1000,,,
-8,0,50.43878838468418,acs_admit_rate_per_1000,,,
-8,1,50.01905831032989,acs_admit_rate_per_1000,,,
-7,0,50.84947636550202,acs_admit_rate_per_1000,,,
-7,1,50.257028711392586,acs_admit_rate_per_1000,,,
-6,0,50.52250876583344,acs_admit_rate_per_1000,,,
-6,1,50.56603191520763,acs_admit_rate_per_1000,,,
-5,0,50.81949835501844,acs_admit_rate_per_1000,,,
-5,1,50.30964409557826,acs_admit_rate_per_1000,,,
-4,0,50.63889751026449,acs_admit_rate_per_1000,,,
-4,1,50.4878203326319,acs_admit_rate_per_1000,,,
-3,0,50.764771532415054,acs_admit_rate_per_1000,,,
-3,1,50.381039752709974,acs_admit_rate_per_1000,,,
-2,0,50.41332181020099,acs_admit_rate_per_1000,,,
-2,1,50.131757120605236,acs_admit_rate_per_1000,,,
-1,0,50.439770490460624,acs_admit_rate_per_1000,,,
-1,1,50.178869539781424,acs_admit_rate_per_1000,,,
0,0,50.79918476196674,acs_admit_rate_per_1000,,,
0,1,49.921345642536146,acs_admit_rate_per_1000,,,
1,0,51.0033664924,acs_admit_rate_per_1000,,,
1,1,51.13362947728465,acs_admit_rate_per_1000,,,
2,0,50.90783833186346,acs_admit_rate_per_1000,,,
2,1,51.41897023421013,acs_admit_rate_per_1000,,,
3,0,51.19875189558306,acs_admit_rate_per_1000,,,
3,1,52.32881188325337,acs_admit_rate_per_1000,,,
4,0,51.46347222753912,acs_admit_rate_per_1000,,,
4,1,52.95868526301011,acs_admit_rate_per_1000,,,
5,0,51.72114193627708,acs_admit_rate_per_1000,,,
5,1,53.779111010163035,acs_admit_rate_per_1000,,,
6,0,52.026383493137956,acs_admit_rate_per_1000,,,
6,1,54.03409295107772,acs_admit_rate_per_1000,,,
-21,0,,bh_ed_rate_per_1000,25.02861576947295,,
-21,1,,bh_ed_rate_per_1000,24.91268479190137,,
-20,0,,bh_ed_rate_per_1000,25.050076960447818,,
-20,1,,bh_ed_rate_per_1000,25.034646677962456,,
-19,0,,bh_ed_rate_per_1000,25.14877873683116,,
-19,1,,bh_ed_rate_per_1000,25.037425755115454,,
-18,0,,bh_ed_rate_per_1000,24.9457193018603,,
-18,1,,bh_ed_rate_per_1000,25.115378615090496,,
-17,0,,bh_ed_rate_per_1000,25.017939585590923,,
-17,1,,bh_ed_rate_per_1000,25.028187912111626,,
-16,0,,bh_ed_rate_per_1000,24.9561167620867,,
-16,1,,bh_ed_rate_per_1000,25.05204051840863,,
-15,0,,bh_ed_rate_per_1000,24.965587714221765,,
-15,1,,bh_ed_rate_per_1000,24.93367410495664,,
-14,0,,bh_ed_rate_per_1000,25.091840874430495,,
-14,1,,bh_ed_rate_per_1000,25.026744348438815,,
-13,0,,bh_ed_rate_per_1000,24.9428516507067,,
-13,1,,bh_ed_rate_per_1000,24.939943007651355,,
-12,0,,bh_ed_rate_per_1000,24.942940524263655,,
-12,1,,bh_ed_rate_per_1000,25.071725788482993,,
-11,0,,bh_ed_rate_per_1000,25.039492950915594,,
-11,1,,bh_ed_rate_per_1000,25.026646736669164,,
-10,0,,bh_ed_rate_per_1000,25.056593642293837,,
-10,1,,bh_ed_rate_per_1000,24.84847524531331,,
-9,0,,bh_ed_rate_per_1000,24.908935404519184,,
-9,1,,bh_ed_rate_per_1000,24.975167110622486,,
-8,0,,bh_ed_rate_per_1000,24.78756497858734,,
-8,1,,bh_ed_rate_per_1000,25.187585694562483,,
-7,0,,bh_ed_rate_per_1000,25.002345965508784,,
-7,1,,bh_ed_rate_per_1000,25.031049758493605,,
-6,0,,bh_ed_rate_per_1000,25.15140676261388,,
-6,1,,bh_ed_rate_per_1000,25.04087980359353,,
-5,0,,bh_ed_rate_per_1000,25.07181110072062,,
-5,1,,bh_ed_rate_per_1000,25.154469631557408,,
-4,0,,bh_ed_rate_per_1000,25.074237633729908,,
-4,1,,bh_ed_rate_per_1000,24.950669913520468,,
-3,0,,bh_ed_rate_per_1000,25.08668869047218,,
-3,1,,bh_ed_rate_per_1000,25.009757459764632,,
-2,0,,bh_ed_rate_per_1000,24.955603374080233,,
-2,1,,bh_ed_rate_per_1000,24.940330982830304,,
-1,0,,bh_ed_rate_per_1000,24.85018796244082,,
-1,1,,bh_ed_rate_per_1000,25.070324914645152,,
0,0,,bh_ed_rate_per_1000,24.843750579854067,,
0,1,,bh_ed_rate_per_1000,25.064955467508895,,
1,0,,bh_ed_rate_per_1000,25.024079712092217,,
1,1,,bh_ed_rate_per_1000,25.371135328553496,,
2,0,,bh_ed_rate_per_1000,25.248334635103216,,
2,1,,bh_ed_rate_per_1000,25.661291048924856,,
3,0,,bh_ed_rate_per_1000,25.329406413623023,,
3,1,,bh_ed_rate_per_1000,26.154431620547744,,
4,0,,bh_ed_rate_per_1000,25.36636479996579,,
4,1,,bh_ed_rate_per_1000,26.294320286375104,,
5,0,,bh_ed_rate_per_1000,25.45942763281388,,
5,1,,bh_ed_rate_per_1000,26.84527286870838,,
6,0,,bh_ed_rate_per_1000,25.742086825801557,,
6,1,,bh_ed_rate_per_1000,26.917401938513358,,
-21,0,,all_cause_mortality_per_100k_35_64,,176.33070774367394,
-21,1,,all_cause_mortality_per_100k_35_64,,177.1010682461388,
-20,0,,all_cause_mortality_per_100k_35_64,,175.95315770021395,
-20,1,,all_cause_mortality_per_100k_35_64,,176.95729415584677,
-19,0,,all_cause_mortality_per_100k_35_64,,174.3645955398523,
-19,1,,all_cause_mortality_per_100k_35_64,,177.12778151872078,
-18,0,,all_cause_mortality_per_100k_35_64,,174.82843590911415,
-18,1,,all_cause_mortality_per_100k_35_64,,177.30926992043223,
-17,0,,all_cause_mortality_per_100k_35_64,,175.01976534124964,
-17,1,,all_cause_mortality_per_100k_35_64,,177.9739448853912,
-16,0,,all_cause_mortality_per_100k_35_64,,175.33068704428302,
-16,1,,all_cause_mortality_per_100k_35_64,,178.39616379107508,
-15,0,,all_cause_mortality_per_100k_35_64,,176.43956284454083,
-15,1,,all_cause_mortality_per_100k_35_64,,177.24468539371838,
-14,0,,all_cause_mortality_per_100k_35_64,,176.74652658242422,
-14,1,,all_cause_mortality_per_100k_35_64,,177.28199194898377,
-13,0,,all_cause_mortality_per_100k_35_64,,176.47797492547278,
-13,1,,all_cause_mortality_per_100k_35_64,,176.89630042777856,
-12,0,,all_cause_mortality_per_100k_35_64,,175.78023722463624,
-12,1,,all_cause_mortality_per_100k_35_64,,177.12898031939113,
-11,0,,all_cause_mortality_per_100k_35_64,,176.16800383182226,
-11,1,,all_cause_mortality_per_100k_35_64,,177.4380823060635,
-10,0,,all_cause_mortality_per_100k_35_64,,175.50075872476208,
-10,1,,all_cause_mortality_per_100k_35_64,,177.1080161104347,
-9,0,,all_cause_mortality_per_100k_35_64,,175.89712677574923,
-9,1,,all_cause_mortality_per_100k_35_64,,176.99287923138735,
-8,0,,all_cause_mortality_per_100k_35_64,,174.4368004084196,
-8,1,,all_cause_mortality_per_100k_35_64,,175.47076883733828,
-7,0,,all_cause_mortality_per_100k_35_64,,174.93946320041536,
-7,1,,all_cause_mortality_per_100k_35_64,,176.51580183277358,
-6,0,,all_cause_mortality_per_100k_35_64,,176.6594555046701,
-6,1,,all_cause_mortality_per_100k_35_64,,177.46934293261066,
-5,0,,all_cause_mortality_per_100k_35_64,,175.51396414285105,
-5,1,,all_cause_mortality_per_100k_35_64,,175.61327984682538,
-4,0,,all_cause_mortality_per_100k_35_64,,175.01594209365837,
-4,1,,all_cause_mortality_per_100k_35_64,,177.4111797940617,
-3,0,,all_cause_mortality_per_100k_35_64,,175.11019114034514,
-3,1,,all_cause_mortality_per_100k_35_64,,177.20080305009367,
-2,0,,all_cause_mortality_per_100k_35_64,,176.6303037226248,
-2,1,,all_cause_mortality_per_100k_35_64,,176.94232686794837,
-1,0,,all_cause_mortality_per_100k_35_64,,176.6009963935972,
-1,1,,all_cause_mortality_per_100k_35_64,,175.96844358667258,
0,0,,all_cause_mortality_per_100k_35_64,,175.85566984567816,
0,1,,all_cause_mortality_per_100k_35_64,,175.91230391273564,
1,0,,all_cause_mortality_per_100k_35_64,,175.40149759326044,
1,1,,all_cause_mortality_per_100k_35_64,,177.44066288958126,
2,0,,all_cause_mortality_per_100k_35_64,,177.75305026554946,
2,1,,all_cause_mortality_per_100k_35_64,,182.50621609263547,
3,0,,all_cause_mortality_per_100k_35_64,,177.928368902334,
3,1,,all_cause_mortality_per_100k_35_64,,186.25071974455554,
4,0,,all_cause_mortality_per_100k_35_64,,180.09853467769847,
4,1,,all_cause_mortality_per_100k_35_64,,187.35345977334654,
5,0,,all_cause_mortality_per_100k_35_64,,181.71323920168544,
5,1,,all_cause_mortality_per_100k_35_64,,189.65559436125565,
6,0,,all_cause_mortality_per_100k_35_64,,182.70053335455228,
6,1,,all_cause_mortality_per_100k_35_64,,192.8725500986683,
-21,0,,amenable_mortality_per_100k_35_64,,,89.87368074610974
-21,1,,amenable_mortality_per_100k_35_64,,,90.03848031530244
-20,0,,amenable_mortality_per_100k_35_64,,,90.42651604049203
-20,1,,amenable_mortality_per_100k_35_64,,,90.60286942309925
