race_ethnicity,non_metro,detection_shift_sd,certification_shift_sd,predicted_to_actual_ratio_mean,predicted_to_actual_ratio_lower,predicted_to_actual_ratio_upper
nh_white,False,-1.0,-1.0,0.6550061631942294,0.6387230829009477,0.6718243591315645
nh_white,True,-1.0,-1.0,0.6061493366922698,0.5891309456334521,0.6226472281354042
nh_black,False,-1.0,-1.0,0.5535659899606952,0.5380643133632641,0.5671372876271267
nh_black,True,-1.0,-1.0,0.5168770817064415,0.5042670614484834,0.5295504425544851
hispanic,False,-1.0,-1.0,0.5711103876933795,0.5543803072169711,0.5860832730282752
hispanic,True,-1.0,-1.0,0.5320628592329874,0.5185214203578523,0.5467522559784372
nh_aian,False,-1.0,-1.0,0.510631805964462,0.4981790610871247,0.5253496209841723
nh_aian,True,-1.0,-1.0,0.47994611580118135,0.46778764016656227,0.49143844552606164
nh_asian,False,-1.0,-1.0,0.6333183477817637,0.6171350811361215,0.6474996864670111
nh_asian,True,-1.0,-1.0,0.5878910998868961,0.5737463024295791,0.6007189470339303
multiracial,False,-1.0,-1.0,0.5947135283212245,0.577902495447614,0.6123695821138342
multiracial,True,-1.0,-1.0,0.5526872622447859,0.5378382606068727,0.5673154989910273
nh_white,False,-1.0,0.0,0.6716625075733782,0.6563835965921152,0.6882316574702317
nh_white,True,-1.0,0.0,0.6210433298031618,0.6039469560683248,0.6384250298607013
nh_black,False,-1.0,0.0,0.5693762378143092,0.5536425956674126,0.584774402144641
nh_black,True,-1.0,0.0,0.5304311549787174,0.516706042846201,0.5433016068154031
hispanic,False,-1.0,0.0,0.5878608307378383,0.571839519867977,0.6030181549930165
hispanic,True,-1.0,0.0,0.5467288361493917,0.5328997781880134,0.5612705053484206
nh_aian,False,-1.0,0.0,0.5263063611070636,0.5119457251846667,0.5442156140891526
nh_aian,True,-1.0,0.0,0.4931808567773504,0.47979270334546975,0.5058310410760607
nh_asian,False,-1.0,0.0,0.6496263451883321,0.6329524458639486,0.6645839973253128
