subgroup,n,model,auroc,auprc,sensitivity_top_decile,sensitivity_lo,sensitivity_hi,specificity_top_decile,calibration_intercept,calibration_slope,ece,window
hispanic,1830,signal_temporal,0.7145180160910417,0.22121013748069196,0.30973451327433627,0.24,0.3963963963963964,0.9138031450203844,0.05175255081746832,0.25411578197708323,0.0627818476277713,full_cohort
hispanic,1830,cost_based_temporal,0.7108199627875333,0.14926543769020323,0.2920353982300885,0.2159921568627451,0.3720992083127165,0.9085614443797321,0.04429746128262982,0.7864707705294314,0.0395594143295063,full_cohort
multiracial,535,signal_temporal,0.7105448822316294,0.22392966031346379,0.2972972972972973,0.15684742647058825,0.4411764705882353,0.9136546184738956,0.061405061681641004,0.2962358614556017,0.05415685929166042,full_cohort
multiracial,535,cost_based_temporal,0.6865841745359818,0.14110814435746105,0.24324324324324326,0.11764705882352941,0.40476190476190477,0.9036144578313253,0.04789512023940848,0.9403639869930945,0.04654661499886027,full_cohort
nh_asian,2297,signal_temporal,0.7481748609811154,0.13745553387579448,0.36585365853658536,0.2837314427103159,0.4864953769559033,0.909706546275395,0.03277837919285235,0.16767513991806068,0.02695176819014688,full_cohort
nh_asian,2297,cost_based_temporal,0.7259951549854098,0.09856511460063394,0.3170731707317073,0.22856366459627328,0.4267142857142857,0.9051918735891648,0.022249382451300495,1.041628214542659,0.022786880023785,full_cohort
nh_black,11697,signal_temporal,0.7090190842938094,0.24995272270849123,0.3304761904761905,0.3058286806934321,0.3552786861546288,0.9227012303935381,0.08069170074249456,0.3423727799499039,0.06326068517424034,full_cohort
nh_black,11697,cost_based_temporal,0.6966305286085506,0.1962627731194288,0.2866666666666667,0.26176421239636793,0.31556519138755984,0.9145299145299145,0.06875486493581495,1.1660974867041947,0.0717477515155469,full_cohort
nh_nhpi,611,signal_temporal,0.8541207927021075,0.2620590881900154,0.3939393939393939,0.2727272727272727,0.6297222222222222,0.9152249134948097,0.04398238828592062,0.30640927958917186,0.044135203943741694,full_cohort
nh_nhpi,611,cost_based_temporal,0.8043409877319911,0.1734553880672355,0.15151515151515152,0.06245265151515152,0.375,0.9013840830449827,0.03042777335597392,1.4249748268836948,0.039513677811550144,full_cohort
